"filename", "language", "JavaScript", "YAML", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "vue", "JSON", "HTML", "Docker", "SVG", "Shell Script", "XML", "comment", "blank", "total"
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/RenameDeviceDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 11, 83
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/ResumeSubscriptionDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 13, 116
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/SubscriptionBillingSection.vue", "vue", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/SubscriptionDialogs.vue", "vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 12, 70
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/SubscriptionInfoField.vue", "vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/SubscriptionTable.vue", "vue", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 25, 181
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/UnverifiedEmailWarning.vue", "vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/UpgradePlanDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 34, 221
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/UserDevicesTable.vue", "vue", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 15, 153
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/AddCardDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 3, 23, 168
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/CardForm.vue", "vue", 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 6, 33, 333
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/DeleteCardDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 14, 112
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/PaymentCard.vue", "vue", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 7, 12, 147
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/PaymentCardSkeleton.vue", "vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 2, 36
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/payment-methods/ThreeDSecureModal.vue", "vue", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 5, 25, 196
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/SubscriptionActionsCell.vue", "vue", 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 46, 326
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/SubscriptionStatusChip.vue", "vue", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/SubscriptionTableHeader.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/BlockExplorerActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/CancelActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/CancelUpgradeActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/PaymentDetailActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/RenewActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/ResumeActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/actions/UpgradeActionButton.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/config.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 3, 55
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/subscription-table/types.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/login/LoginForm.vue", "vue", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 14, 155
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/login/LoginPage.vue", "vue", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/password/PasswordChanged.vue", "vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/password/PasswordForm.vue", "vue", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 12, 119
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/password/PasswordLinkSend.vue", "vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/password/PasswordReset.vue", "vue", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 15, 218
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/signup/SignupAccount.vue", "vue", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 13, 168
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/signup/SignupAddress.vue", "vue", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 18, 242
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/signup/SignupCustomerInformation.vue", "vue", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 12, 141
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/signup/SignupForm.vue", "vue", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 22, 207
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/signup/SignupIntroduction.vue", "vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
